FK_ID,Date,ID,Sent,R.Sent,Bounce,Total,Data.Interval,Server,Status,Offset,Limit,Server_Tab,Ips
"25547834,""04/10 (19:42:48)"",""134495431"",""1700"",""1704"",""0"",""1700"",""(255600 to 257300)"",""s_cmh8_3617"",""completed"",""255600"",""5100"",""s_cmh8_3617"","",,138.226.244.76,,,"""
"25547834,""04/10 (19:42:48)"",""134495432"",""1700"",""1704"",""0"",""1700"",""(257300 to 259000)"",""s_cmh8_3656"",""completed"",""255600"",""5100"",""s_cmh8_3656"","",,5.135.75.179,,,"""
"25547735,""04/10 (19:37:50)"",""134495294"",""266500"",""266488"",""0"",""266500"",""(0 to 266500)"",""s_cmh7_3174"",""completed"",""0"",""266500"",""s_cmh7_3174"","",,50.2.64.19,,50.2.64.20,,50.2.64.21,,50.2.64.22,,50.2.64.23,,50.2.64.24,,50.2.64.25,,50.2.64.26,,50.2.64.27,,50.2.64.28,,50.2.64.29,,50.2.64.30,,50.3.1.22,,,"""
"25547404,""04/10 (19:32:48)"",""134494818"",""2000"",""2002"",""0"",""2000"",""(251600 to 253600)"",""s_cmh8_3583"",""completed"",""251600"",""4000"",""s_cmh8_3583"","",,142.147.96.126,,,"""
"25547404,""04/10 (19:32:48)"",""134494819"",""2000"",""2002"",""0"",""2000"",""(253600 to 255600)"",""s_cmh8_3656"",""completed"",""251600"",""4000"",""s_cmh8_3656"","",,5.135.75.180,,,"""
"25547228,""04/10 (19:27:48)"",""134494593"",""1800"",""1804"",""0"",""1800"",""(199300 to 201100)"",""s_cmh8_3583"",""completed"",""197500"",""3600"",""s_cmh8_3583"","",,142.147.96.126,,,"""
"25547228,""04/10 (19:27:48)"",""134494594"",""1800"",""1804"",""0"",""1800"",""(197500 to 199300)"",""s_cmh8_3656"",""completed"",""197500"",""3600"",""s_cmh8_3656"","",,5.135.75.181,,,"""
"25547112,""04/10 (19:22:48)"",""134494422"",""2600"",""2601"",""0"",""2600"",""(246400 to 249000)"",""s_cmh8_3583"",""completed"",""243800"",""7800"",""s_cmh8_3583"","",,142.147.96.123,,,"""
"25547112,""04/10 (19:22:48)"",""134494423"",""2600"",""2602"",""0"",""2600"",""(243800 to 246400)"",""s_cmh8_3617"",""completed"",""243800"",""7800"",""s_cmh8_3617"","",,138.226.244.74,,,"""
"25547112,""04/10 (19:22:48)"",""134494424"",""2600"",""2602"",""0"",""2600"",""(249000 to 251600)"",""s_cmh8_3656"",""completed"",""243800"",""7800"",""s_cmh8_3656"","",,5.135.75.177,,,"""
