Date,Finished.At,Scheduled.At,Mailer,ID,Sent,R.Sent,SoftBounce,HardBounce,Total,Offer,Isp,Profile,Injected.Seeds,Server(s)
"14/04/2026 (12:14:17)","14/04/2026 (12:14:21)","","y.moghar","25689560","7250","9","0","0","7250","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 7250)","0->1000","2 s_cmh8_3583 s_cmh8_3617"
"14/04/2026 (12:07:17)","14/04/2026 (12:07:20)","","y.moghar","25689231","3042","1307","0","0","3080","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (369840 to 372920)","0->1000","2 s_cmh8_3583 s_cmh8_3617"
"14/04/2026 (12:02:20)","14/04/2026 (12:02:27)","","y.moghar","25688990","15000","15001","0","0","15000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (354840 to 369840)","0->1000","2 s_cmh8_3583 s_cmh8_3617"
"14/04/2026 (11:55:17)","14/04/2026 (11:55:37)","","y.moghar","25688831","15000","15008","0","0","15000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (339840 to 354840)","0->1000","2 s_cmh8_3583 s_cmh8_3617"
"14/04/2026 (11:47:17)","14/04/2026 (11:47:21)","","y.moghar","25688625","14500","19","0","0","14500","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (325340 to 339840)","0->1000","2 s_cmh8_3617 s_cmh8_3656"
"14/04/2026 (11:40:17)","14/04/2026 (11:40:21)","","y.moghar","25688424","7250","1123","0","0","7250","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (318090 to 325340)","0->1000","s_cmh8_3617"
"14/04/2026 (11:33:17)","14/04/2026 (11:33:20)","","y.moghar","25688057","6000","103","0","0","6000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (312090 to 318090)","0->1000","s_cmh8_3617"
"14/04/2026 (11:27:36)","14/04/2026 (11:28:29)","","y.moghar","25687787","22500","15776","0","0","22500","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (289590 to 312090)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"14/04/2026 (11:19:17)","14/04/2026 (11:19:40)","","y.moghar","25687595","22500","22510","0","0","22500","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (267090 to 289590)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"14/04/2026 (11:11:17)","14/04/2026 (11:11:37)","","y.moghar","25687415","21750","11450","0","0","21750","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (245340 to 267090)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"14/04/2026 (11:04:17)","14/04/2026 (11:05:21)","","y.moghar","25687170","21750","10341","0","0","21750","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (223590 to 245340)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"14/04/2026 (10:57:17)","14/04/2026 (10:57:39)","","y.moghar","25686996","21750","19386","0","0","21750","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (201840 to 223590)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"14/04/2026 (10:50:17)","14/04/2026 (10:50:39)","","y.moghar","25686903","21750","21754","0","0","21750","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (180090 to 201840)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"14/04/2026 (10:43:17)","14/04/2026 (10:43:45)","","y.moghar","25686800","21750","21762","0","0","21750","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (158340 to 180090)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"14/04/2026 (10:35:18)","14/04/2026 (10:35:25)","","y.moghar","25686643","21000","14007","0","0","21000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (137340 to 158340)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"14/04/2026 (10:28:17)","14/04/2026 (10:28:39)","","y.moghar","25686467","21000","19777","0","0","21000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (116340 to 137340)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"14/04/2026 (10:21:18)","14/04/2026 (10:21:40)","","y.moghar","25686371","21000","21006","0","0","21000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (95340 to 116340)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"14/04/2026 (10:14:17)","14/04/2026 (10:14:38)","","y.moghar","25686204","7000","7002","0","0","7000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (88340 to 95340)","0->1000","s_cmh8_3656"
"14/04/2026 (10:07:17)","14/04/2026 (10:07:23)","","y.moghar","25686072","14000","14007","0","0","14000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (74340 to 88340)","0->1000","2 s_cmh8_3583 s_cmh8_3617"
"14/04/2026 (04:07:17)","14/04/2026 (04:07:20)","","y.moghar","25679108","8650","0","0","0","8650","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (65690 to 74340)","0->1000","s_cmh8_3656"
"14/04/2026 (03:59:17)","14/04/2026 (03:59:22)","","y.moghar","25678918","7530","0","0","0","7530","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (58160 to 65690)","0->1000","s_cmh8_3656"
"14/04/2026 (03:54:17)","14/04/2026 (03:54:20)","","y.moghar","25678844","8800","0","0","0","8800","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (49360 to 58160)","0->1000","s_cmh8_3656"
"14/04/2026 (03:47:17)","14/04/2026 (03:47:20)","","y.moghar","25678653","8330","0","0","0","8330","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (41030 to 49360)","0->1000","s_cmh8_3656"
"14/04/2026 (03:40:17)","14/04/2026 (03:40:52)","","y.moghar","25678541","16800","16807","0","0","16800","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (24230 to 41030)","0->1000","2 s_cmh8_3583 s_cmh8_3617"
"14/04/2026 (03:34:17)","14/04/2026 (03:34:19)","","y.moghar","25678349","6432","6438","0","0","6432","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (236904 to 243336)","0->1000","s_cmh2_6145"
"14/04/2026 (03:31:17)","14/04/2026 (03:31:20)","","y.moghar","25678169","8400","0","0","0","8400","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (15830 to 24230)","0->1000","s_cmh8_3656"
"14/04/2026 (03:29:17)","14/04/2026 (03:29:21)","","y.moghar","25678126","12428","12434","0","0","12428","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (224476 to 236904)","0->1000","s_cmh2_6145"
"14/04/2026 (03:23:17)","14/04/2026 (03:23:19)","","y.moghar","25678039","7280","0","0","0","7280","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (8550 to 15830)","0->1000","s_cmh8_3656"
"14/04/2026 (03:22:17)","14/04/2026 (03:22:21)","","y.moghar","25678019","5032","3228","0","0","5032","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (219444 to 224476)","0->1000","s_cmh2_6121"
"14/04/2026 (03:19:17)","14/04/2026 (03:19:38)","","y.moghar","25677974","66000","21606","0","0","66000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (63000 to 129000)","0->1000","s_cmh2_6101"
"14/04/2026 (03:18:17)","14/04/2026 (03:18:20)","","y.moghar","25677950","8550","0","0","0","8550","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 8550)","0->1000","s_cmh8_3656"
"14/04/2026 (03:11:17)","14/04/2026 (03:11:21)","","y.moghar","25677828","12122","1137","0","0","12140","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (360780 to 372920)","0->1000","2 s_cmh8_3617 s_cmh8_3656"
"14/04/2026 (03:04:17)","14/04/2026 (03:04:38)","","y.moghar","25677646","16300","16308","0","0","16300","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (344480 to 360780)","0->1000","2 s_cmh8_3583 s_cmh8_3617"
"14/04/2026 (03:01:17)","14/04/2026 (03:01:21)","","y.moghar","25677590","6432","2381","0","0","6432","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (213012 to 219444)","0->1000","s_cmh2_6127"
"14/04/2026 (02:55:17)","14/04/2026 (02:55:20)","","y.moghar","25677500","8150","0","0","0","8150","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (336330 to 344480)","0->1000","s_cmh8_3656"
"14/04/2026 (02:54:17)","14/04/2026 (02:54:20)","","y.moghar","25677490","11762","11764","0","0","11762","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (201250 to 213012)","0->1000","s_cmh2_6145"
"14/04/2026 (02:49:17)","14/04/2026 (02:49:20)","","y.moghar","25677414","7030","71","0","0","7030","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (329300 to 336330)","0->1000","s_cmh8_3617"
"14/04/2026 (02:47:17)","14/04/2026 (02:47:23)","","y.moghar","25677370","10064","9877","0","0","10064","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (191186 to 201250)","0->1000","s_cmh2_6121"
"14/04/2026 (02:44:17)","14/04/2026 (02:44:48)","","y.moghar","25677278","63000","47984","0","0","63000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 63000)","0->1000","s_cmh2_6101"
"14/04/2026 (02:42:17)","14/04/2026 (02:43:40)","","y.moghar","25677209","24900","1107","0","0","24900","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (304400 to 329300)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"14/04/2026 (02:35:17)","14/04/2026 (02:36:08)","","y.moghar","25677077","23490","13056","0","0","23490","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (280910 to 304400)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
