ip,server,entity,first_used_at,first_sent_per_ip,first_r_sent_per_ip,first_error,first_limit,first_offset,first_launch_success
89.117.12.48,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,6000,No error,6000,234000.0,1
89.117.12.8,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,6000,No error,6000,234000.0,1
89.117.12.9,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,6000,No error,6000,234000.0,1
91.223.3.150,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,0,No error,3000,0.0,0
91.223.3.186,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,0,No error,3000,0.0,0
91.223.3.187,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,0,No error,3000,0.0,0
91.223.3.189,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,0,No error,3000,0.0,0
91.223.3.194,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,0,No error,3000,0.0,0
91.223.3.195,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,0,No error,3000,0.0,0
91.223.3.196,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,0,No error,3000,0.0,0
91.223.3.197,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,0,No error,3000,0.0,0
91.223.3.198,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,0,No error,3000,0.0,0
91.223.3.199,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,0,No error,3000,0.0,0
91.223.3.200,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,0,No error,3000,0.0,0
91.223.3.204,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,0,No error,3000,0.0,0
91.223.3.208,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,0,No error,3000,0.0,0
91.223.3.209,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,332,No error,3000,0.0,0
