campaign_id,datetime_gride,sent_gride,r_sent_gride,servers_list,nb_servers
25678169.0,2026-04-14 03:31:17,8400.0,0.0,['s_cmh8_3656'],1
25678349.0,2026-04-14 03:34:17,6432.0,6438.0,['s_cmh2_6145'],1
25678541.0,2026-04-14 03:40:17,16800.0,16807.0,"['s_cmh8_3583', 's_cmh8_3617']",2
25678653.0,2026-04-14 03:47:17,8330.0,0.0,['s_cmh8_3656'],1
25678844.0,2026-04-14 03:54:17,8800.0,0.0,['s_cmh8_3656'],1
25678918.0,2026-04-14 03:59:17,7530.0,0.0,['s_cmh8_3656'],1
25679108.0,2026-04-14 04:07:17,8650.0,0.0,['s_cmh8_3656'],1
25686072.0,2026-04-14 10:07:17,14000.0,14007.0,"['s_cmh8_3583', 's_cmh8_3617']",2
25686204.0,2026-04-14 10:14:17,7000.0,7002.0,['s_cmh8_3656'],1
25686371.0,2026-04-14 10:21:18,21000.0,21006.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25686467.0,2026-04-14 10:28:17,21000.0,19777.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25686643.0,2026-04-14 10:35:18,21000.0,14007.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25686800.0,2026-04-14 10:43:17,21750.0,21762.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25686903.0,2026-04-14 10:50:17,21750.0,21754.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25686996.0,2026-04-14 10:57:17,21750.0,19386.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25687170.0,2026-04-14 11:04:17,21750.0,10341.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25687415.0,2026-04-14 11:11:17,21750.0,11450.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
