ip,server,entity,first_used_at,first_sent_per_ip,first_error,first_limit,first_offset,first_launch_success,safe_duration_days,first_error_day,first_netblock_day,maximum_safe_volume,average_safe_growth_rate,average_time_gap_min
51.75.164.228,s_cmh2_6145,cmh2,2026-04-12 23:59:18,3000,No error,3000,6412.0,1,0.0,2026-04-12 23:59:18,,0,0.0,0.0
51.75.165.100,s_cmh2_6145,cmh2,2026-04-12 23:59:18,3000,No error,3000,6412.0,1,0.0,2026-04-12 23:59:18,,0,0.0,0.0
51.75.165.108,s_cmh2_6145,cmh2,2026-04-12 23:59:18,3000,No error,3000,6412.0,1,0.0,2026-04-12 23:59:18,,0,0.0,0.0
69.162.64.210,s_cmh11_1388,cmh11,2026-04-12 01:04:22,4800,No error,20800,249200.0,1,0.9562268518518519,,,41620,0.029420851155361312,152.99666666666667
69.162.64.212,s_cmh11_1388,cmh11,2026-04-12 01:04:22,4800,No error,20800,249200.0,1,3.9866319444444445,2026-04-16 00:45:07,,41619,0.029422949483078498,152.99666666666667
69.162.64.213,s_cmh11_1388,cmh11,2026-04-12 01:04:22,4800,No error,20800,249200.0,1,1.7152314814814815,,,41619,0.04394810481169288,189.9953846153846
69.162.64.214,s_cmh11_1388,cmh11,2026-04-12 21:59:19,5200,No error,18200,65000.0,1,0.0847337962962963,,,21998,0.036511877348113064,24.404
89.116.64.219,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.116.64.220,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.116.64.240,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,Other,6000,234000.0,0,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.14,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.18,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.21,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.26,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.28,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.45,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.48,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.8,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
89.117.12.9,s_cmh9_5702,cmh9,2026-04-13 18:19:19,6000,No error,6000,234000.0,1,0.0,2026-04-13 18:19:19,,0,0.0,0.0
91.223.3.150,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.186,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.187,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.189,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.194,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.195,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.196,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.197,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.198,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.199,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.200,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.204,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.208,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
91.223.3.209,s_cmh9_5687,cmh9,2026-04-12 14:52:12,3000,No error,3000,0.0,1,0.0,2026-04-12 14:52:12,,0,0.0,0.0
