datetime_drop,server,ip,limit,outSum,by_ip,totalIps,error_type_from_error
2026-04-14 03:25:00,s_cmh2_6121,23.82.139.242,5032,3650.0,5032,1,Rate limit DKIM
2026-04-14 13:45:11,s_cmh2_6121,23.82.139.242,6000,17.0,3000,2,Rate limit SPF
2026-04-14 13:45:11,s_cmh2_6121,23.82.139.242,6000,17.0,3000,2,Connection closed
2026-04-14 13:45:11,s_cmh2_6121,23.82.139.242,6000,17.0,3000,2,Rate limit SPF
2026-04-14 13:45:11,s_cmh2_6121,23.82.139.242,6000,17.0,3000,2,Connection closed
2026-04-15 11:13:13,s_cmh2_6121,23.82.139.242,3000,2539.0,3000,1,Connection closed
2026-04-15 11:13:13,s_cmh2_6121,23.82.139.242,3000,2539.0,3000,1,Rate limit SPF
2026-04-15 11:13:13,s_cmh2_6121,23.82.139.242,3000,2539.0,3000,1,Rate limit DKIM
2026-04-15 11:13:13,s_cmh2_6121,23.82.139.242,3000,2539.0,3000,1,Connection closed
2026-04-15 11:13:13,s_cmh2_6121,23.82.139.242,3000,2539.0,3000,1,Rate limit SPF
2026-04-15 11:13:13,s_cmh2_6121,23.82.139.242,3000,2539.0,3000,1,Rate limit DKIM
2026-04-16 13:51:13,s_cmh2_6121,23.82.139.242,7000,1832.0,7000,1,Rate limit SPF
2026-04-16 13:51:13,s_cmh2_6121,23.82.139.242,7000,1832.0,7000,1,Connection closed
2026-04-16 13:51:13,s_cmh2_6121,23.82.139.242,7000,1832.0,7000,1,Rate limit DKIM
2026-04-16 15:44:03,s_cmh2_6121,23.82.139.242,12000,498.0,6000,2,Connection closed
2026-04-16 15:44:03,s_cmh2_6121,23.82.139.242,12000,498.0,6000,2,Rate limit SPF
2026-04-16 16:08:01,s_cmh2_6121,23.82.139.242,12000,303.0,6000,2,Connection closed
2026-04-16 16:08:01,s_cmh2_6121,23.82.139.242,12000,303.0,6000,2,Rate limit SPF
2026-04-16 16:33:02,s_cmh2_6121,23.82.139.242,6000,158.0,6000,1,Rate limit DKIM
2026-04-16 16:33:02,s_cmh2_6121,23.82.139.242,6000,158.0,6000,1,Rate limit SPF
2026-04-16 16:33:02,s_cmh2_6121,23.82.139.242,6000,158.0,6000,1,Connection closed
2026-04-13 22:59:00,s_cmh2_6127,158.69.54.111,10200,9358.0,5100,2,Rate limit SPF
2026-04-13 22:59:00,s_cmh2_6127,158.69.54.111,10200,9358.0,5100,2,Rate limit DKIM
2026-04-14 11:44:11,s_cmh2_6127,158.69.54.111,12000,993.0,6000,2,Rate limit DKIM
2026-04-14 11:44:11,s_cmh2_6127,158.69.54.111,12000,993.0,6000,2,Connection closed
2026-04-14 11:44:11,s_cmh2_6127,158.69.54.111,12000,993.0,6000,2,Rate limit SPF
2026-04-14 11:44:11,s_cmh2_6127,158.69.54.111,12000,993.0,6000,2,Other
2026-04-14 11:44:11,s_cmh2_6127,158.69.54.111,12000,993.0,6000,2,Rate limit DKIM
2026-04-14 11:44:11,s_cmh2_6127,158.69.54.111,12000,993.0,6000,2,Connection closed
